"indice","convocatoria","colectiva_nombre","colectiva_url","pais","ciudad","actividad_fecha","actividad_hora","actividad_localizacion","actividad_localizacion_latitude","actividad_localizacion_longitude","actividad_localizacion_altitude","actividad_localizacion_precision","actividad_direccion","actividad_url_imagen","actividad_url_convocatoria","actividad_trans_incluyente"
"1","2025","8 Muyeres en Bici","@8Muyeresenbici","ES","Xixón - Gijón","2025-03-01","11:30:00","43.545054 -5.662122 0 0","43.545054","-5.662122","0.0","0.0","Plaza Mayor. 33201 Xixón - Gijón","{{https://x.com/8Muyeresenbici/status/1895755310301950411/photo/1}}","https://www.instagram.com/p/DGi1-D-It8a/",""
"2","2025","Ayuntamiento de Alfaro","https://www.instagram.com/ayuntamiento_de_alfaro_?igsh=MXh3aTE1ZGxiZXdzZQ==","ES","Alfaro","2025-03-08","10:00:00","42.1783 -1.7475 0 0","42.1783","-1.7475","0.0","0.0","Plaza de España, 1","{{https://www.instagram.com/p/DGm_oEQMFUl/?igsh=emZkZ3J2ZWZ5OXZj}}","",""
"3","2025","Massa Crítica Barcelona","https://www.instagram.com/massacriticabcn/","ES","Barcelona","2025-03-07","20:00:00","41.391143 2.180536 0 0","41.391143","2.180536","0.0","0.0",".08018 Barcelona","{{https://scontent.fbcn7-2.fna.fbcdn.net/v/t51.75761-15/482085251_18443909575079996_2790941199341523209_n.jpg?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=dA3zzm_fQD8Q7kNvgHJnhs2&_nc_oc=AdhZHkqHbXCdVH8Dd4No9I6rGZeH2IIg_CfoPuiLuH8WJwk7DL6LSAo61iLLeVEPUhs&_nc_zt=23&_nc_ht=scontent.fbcn7-2.fna&_nc_gid=Ap9cFjofqZm_zI4tS4lkfUJ&oh=00_AYAssQUfOb56N7siv8nA4h3FcJ7QlORdiz5HaikpPS_0yQ&oe=67C8DF42}}","https://www.instagram.com/p/DGoRDqQuZ1U/",""
"4","2025","Sindicat d'Estudiants","https://sindicatdestudiants.net/","ES","Barcelona","2025-03-07","12:00:00","41.385742 2.163868 0 0","41.385742","2.163868","0.0","0.0","Plaça Universitat. 08007 Barcelona","{{https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_cartell.jpg}}","https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_full.pdf",""
"5","2025","Sindicat d'Estudiants","https://sindicatdestudiants.net/","ES","Barcelona","2025-03-07","12:00:00","41.119076 1.245385 0 0","41.119076","1.245385","0.0","0.0","Plaça Imperial Tarraco. 43005 Tarragona","{{https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_cartell.jpg}}","https://sindicatdestudiants.net/images/2025/Gener/7M2025-CAT_full.pdf",""
"6","2025","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Gijón - Xixón","2025-03-07","12:00:00","43.54127 -5.662152 0 0","43.54127","-5.662152","0.0","0.0","Pl. del Instituto, Centro, 33201 Gijón - Xixón","{{https://www.sindicatodeestudiantes.net/images/2025/enero/7M/250201_11.jpg#joomlaImage://local-images/2025/enero/7M/250201_11.jpg?width=900&height=600}}","https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/7m-huelga-estudiantil-feminista",""
"7","2025","Sindicato de Estudiantes","https://www.sindicatodeestudiantes.net/","ES","Oviedo - Uviéu","2025-03-07","12:00:00","43.362194 -5.848052 0 0","43.362194","-5.848052","0.0","0.0","Plaza de la Escandalera. Oviedo - Uviéu","{{https://www.sindicatodeestudiantes.net/images/2025/enero/7M/250201_11.jpg#joomlaImage://local-images/2025/enero/7M/250201_11.jpg?width=900&height=600}}","https://www.sindicatodeestudiantes.net/index.php/noticias/feminismo-revolucionario/7m-huelga-estudiantil-feminista",""
"8","2025","Geofeministas","https://www.instagram.com/geofeministas/","MX","Ciudad de México","2025-03-09","17:00:00","19.522906 -99.125785 0 0","19.522906","-99.125785","0.0","0.0","Actividad remota","{{https://drive.google.com/file/d/1yOS-qLM4mU3SmkuuzAuAr4IyejiGL186/view?usp=sharing}}","",""
"9","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-04","17:00:00","19.047281 -98.191754 0 0","19.047281","-98.191754","0.0","0.0","Privada Primera Central 417 Colonia San Francisco CP. 72000 Puebla, Puebla","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/481006342_655618340309722_7916823583918847456_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeFSNoNfYEEfRzeZjU-RgIncCgK7IQu2bM4KArshC7ZszgYTIPeD_JxsWk_vjhWAwOg&_nc_ohc=FSywMTZ9CPoQ7kNvgH_ucAr&_nc_oc=Adjt1Onr2QYQ5Or6-ZPxrztmBNjJNKrmKNGCVyQTA-YQPR6IJeyYW2NLQbMnAY2E94ghJz8GJpzbcRrqWGhfi3aJ&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=Anq6Of9i-wyUhIXTXg9j1B_&oh=00_AYDOeCHyjFyEwCD6766ewaTkpq4WBSzuN4d3VE8ZL-tSPQ&oe=67C918DA}}","",""
"10","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-08","10:00:00","19.03096 -98.201725 0 0","19.03096","-98.201725","0.0","0.0","Boulevard Héroes del 5 de Mayo 31 Oriente, Ladrillera de Benítez, 72530 Puebla, Pue. MX","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/481214206_656398983564991_5184975738873990577_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeFmXcMaMSFKEBzovj3zFAohQ0xWBLTBLIhDTFYEtMEsiOTiJzu0-PRPFuF-rSePyRM&_nc_ohc=Z3dqXTA5P6wQ7kNvgEKkRTQ&_nc_oc=Adg_3RcZPr-4MsdgQB4myqpmlMxvUHZoV7SqSk_Fmi0LKMCr8P4k0QJ7EPYGmWLzFmTKjF0ZO-LW2lLtz3eYSf0p&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=AMaT5_jB4gXaoAqt73tlHwr&oh=00_AYAtGU5LI-Rov2V9Y4rpFYvls333WO_AhWxz2r6e4dEYhw&oe=67C935CA}}","",""
"11","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-06","17:00:00","19.047332 -98.191742 0 0","19.047332","-98.191742","0.0","0.0","Privada Primera Central 417 Colonia San Francisco CP 72000","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/480499760_651355084069381_6169045812589742475_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeEAkzDsZfmr1ROC--xlVu4NohjPlMV52NWiGM-UxXnY1ZkVAKtJXMC1uFo80R4fNRc&_nc_ohc=M2szhCl3JGkQ7kNvgGyR249&_nc_oc=Adh5Iy21r4cXh57XnIKqtlRGclL8cpOGzSY1k1BgjH4eL4ROJuSmUh4mqM5bmm78qL9CDzRVYVtHRJ7nggiWWWv1&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=AOTR2KM_NAXr_6TvB2RaI-H&oh=00_AYAXsHTwkv5tvv1LEV7dyZxHAHw_QjWyJyeBOFfdws4WCA&oe=67C93492}}","",""
"12","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-22","10:00:00","19.047327 -98.191754 0 0","19.047327","-98.191754","0.0","0.0","Privada Primera Central 417 Colonia San Francisco CP 72000","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/480499760_651355084069381_6169045812589742475_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeEAkzDsZfmr1ROC--xlVu4NohjPlMV52NWiGM-UxXnY1ZkVAKtJXMC1uFo80R4fNRc&_nc_ohc=M2szhCl3JGkQ7kNvgGyR249&_nc_oc=Adh5Iy21r4cXh57XnIKqtlRGclL8cpOGzSY1k1BgjH4eL4ROJuSmUh4mqM5bmm78qL9CDzRVYVtHRJ7nggiWWWv1&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=AOTR2KM_NAXr_6TvB2RaI-H&oh=00_AYAXsHTwkv5tvv1LEV7dyZxHAHw_QjWyJyeBOFfdws4WCA&oe=67C93492}}","",""
"13","2025","El Taller, Centro de Sensibilización y Educación Humana A. C.","www.instagram.com/lasnahualasdeltaller","MX","Puebla","2025-03-27","17:00:00","19.047312 -98.191734 0 0","19.047312","-98.191734","0.0","0.0","Privada Primera Central 417 Colonia San Francisco CP 72000","{{https://scontent.fpbc6-1.fna.fbcdn.net/v/t39.30808-6/480934969_655618393643050_6835453713854377119_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_eui2=AeFxLmHKPIjsG8P77ZfjkRFdL3BRHgnO4L0vcFEeCc7gvUTa7T-aIBNStF10qOstouw&_nc_ohc=Ilk5AGtKO-QQ7kNvgGvE06i&_nc_oc=Adj06JZsUiZ32c_weNtSbhj639vhvZJNUdArGD413Kx4MM_Mr4me8_koHqsCqhs89YibZTUpuAxnfU0_uJzCnJyq&_nc_zt=23&_nc_ht=scontent.fpbc6-1.fna&_nc_gid=AuM0sN6j525iATyn0rHSlYc&oh=00_AYABqtptwf1tcDnd1bt0gcPN2x27M1WN6nhX3VPX11CvKA&oe=67C92F3B}}","",""
"14","2025","Ameba Uruguay","@ameba_uruguay","UY","Monntevideo","2025-03-08","13:00:00","-34.90401 -56.207623 0 0","-34.90401","-56.207623","0.0","0.0","Misiones 1590 esq. Piedras","{{https://www.instagram.com/reel/DGb4qpLAu0P/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==}}","https://www.instagram.com/ameba_uruguay",""
"15","2025","Michis Aborteros","https://www.instagram.com/michis_aborteros?igsh=MWE4ZmcycGQzOGZreA==","MX","Ciudad de México","2025-03-08","14:00:00","19.426891 -99.167628 0 0","19.426891","-99.167628","0.0","0.0","Angel de la Independencia","{{https://i.imgur.com/tdTzw4D.png}}","https://www.instagram.com/p/DFx-CbbuS0E/?igsh=MThza2IxemlwaXVzYg==",""
"16","2025","Asociación para el Desarrollo Ecosocial de Mujeres","Asociación para el Desarrollo Ecosocial de Mujeres - Facebook","MX","Cancún","2025-03-08","16:00:00","21.14717 -86.81341 0 0","21.14717","-86.81341","0.0","0.0","Malecón Tajamar, Cancún, Quintana Roo","{{https://www.facebook.com/share/1A1b7q2PGb/}}","",""
"17","2025","CSOA La Enredadera de Tetuán","https://laenredaderadetetuan.wordpress.com/","ES","Madrid","2025-03-02","13:30:00","40.455451 -3.700856 0 0","40.455451","-3.700856","0.0","0.0","C/ Coruña, 5. 28020 Madrid","{{https://pbs.twimg.com/media/GlB8xxfW8AARJd_?format=jpg&name=medium}}","https://x.com/DRYmadrid/status/1896152645813129233/photo/1",""
"18","2025","Assemblea 8M","https://assemblea8m.cat/","ES","Barcelona","2025-03-08","18:00:00","41.38589 2.163619 0 0","41.38589","2.163619","0.0","0.0","Plaça Universitat. 08007 Barcelona","{{https://assemblea8m.cat/wp-content/uploads/2025/02/8m2025-768x1086.jpg}}","https://assemblea8m.cat/",""
"19","2025","Asturies Feminista","https://www.instagram.com/asturiesfeminista8m/","ES","La Pola Siero","2025-03-04","11:00:00","43.391759 -5.662108 0 0","43.391759","-5.662108","0.0","0.0","Parada de taxis","{{https://scontent.fbcn7-3.fna.fbcdn.net/v/t51.75761-15/480199310_18056153453038681_4566629272224668732_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=127cfc&_nc_ohc=b9gwABHTRs4Q7kNvgHAcbrW&_nc_oc=AdhvYicpnDpUD657iJ7dTxWQ88bb5En6ih8_Ht4c_J9PrbmKJR20Au2ffHpzONfjNzs&_nc_zt=23&_nc_ht=scontent.fbcn7-3.fna&_nc_gid=AIGq7_DitAw09wMJV5QNw3S&oh=00_AYBtIzVtJXt3fkVcUEc9q4WsHwyRHToy4WH5LWgJUdkD-g&oe=67CA1102}}","https://www.facebook.com/photo/?fbid=656244406757775&set=pcb.656244536757762",""
"20","2025","Asturies Feminista - Mercao feminista","https://www.instagram.com/asturiesfeminista8m/","ES","El Berrón. Asturies","2025-03-06","11:00:00","43.384864 -5.703857 0 0","43.384864","-5.703857","0.0","0.0","Mercado Avenida de Oviedo. El Berrón. Asturies","{{https://scontent.fbcn7-3.fna.fbcdn.net/v/t51.75761-15/480649493_18056153462038681_2068247407249906417_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=9S6aVL_sBbEQ7kNvgGzzcKf&_nc_oc=AdjxI3CkRLSy7B-BcKCjfpMCY80paWSRV6k9M_SjZ3fj6Qr9HV-lfXGJ9pEzPUrJyHE&_nc_zt=23&_nc_ht=scontent.fbcn7-3.fna&_nc_gid=Ap0RZfw6BYDmH2O5_dGemwM&oh=00_AYBlinaijZ2OIbl54hB7ZL5aaqN6uNJqZbMWoiojgCiGtw&oe=67CA2FE3}}","https://www.instagram.com/p/DGN6zMssK9X/?img_index=8",""
"21","2025","Asturies 8M","https://www.instagram.com/asturiesfeminista8m/","ES","Xixón - Gijón","2025-03-08","12:00:00","43.535266 -5.645939 0 0","43.535266","-5.645939","0.0","0.0","Carr. de Villaviciosa, 1, Gijon-Este, 33204 Gijón - Xixón, Asturies. (Plaza de Toros)","{{https://pbs.twimg.com/media/Gk-7PE4WgAA4Sxv?format=jpg&name=large}}","https://www.instagram.com/p/DFphvsBMqSL/",""
"22","2025","Asturies Feminista","https://www.instagram.com/asturiesfeminista8m/","ES","Lugones. Asturies","2025-03-01","12:00:00","43.403825 -5.810003 0 0","43.403825","-5.810003","0.0","0.0","Calle Nte., 13D, 33930 Langreo, Asturies","{{https://scontent.fbcn7-3.fna.fbcdn.net/v/t51.75761-15/479988661_18056153483038681_696053114647701547_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=127cfc&_nc_ohc=DspZXuGsUfsQ7kNvgG9B3h4&_nc_oc=AdhrVCf27IE3NYuQOtVzr58J1DaednGGZ5OlX31eAnrQV7GGKDg4Ca85itGxwd478S4&_nc_zt=23&_nc_ht=scontent.fbcn7-3.fna&_nc_gid=Asz3Xs3E953x8Dk93G0r1v3&oh=00_AYB6Te1RBeTXv3LbIfMRZO6zMs7zeqXpGxsvO2oJ_54XDQ&oe=67CA2798}}","https://www.instagram.com/p/DGN6zMssK9X/?img_index=10",""
"23","2025","Asturies Feminista","https://www.instagram.com/asturiesfeminista8m","ES","Uviéu - Oviedo","2025-03-01","12:00:00","43.360084 -5.8462 0 0","43.360084","-5.8462","0.0","0.0","Plaza del Fontán. 33009 Uviéu - Oviedo","{{https://scontent.fbcn7-3.fna.fbcdn.net/v/t51.75761-15/479996750_18056153492038681_1642105791995851615_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=127cfc&_nc_ohc=P6l5v2BLMbEQ7kNvgHQnIwk&_nc_oc=AdgV6WbI7DP9NvZkN8nY4grCIdlSxoYJab_l9GUNwgpl4odnnpL74lXqBNJ9uoo6Ro8&_nc_zt=23&_nc_ht=scontent.fbcn7-3.fna&_nc_gid=AdIjqKa3RsSgdC0UYzCgyas&oh=00_AYDFn5OIjMZIorIQCLWR9gdnEAetapmW8UsTrK2QENOjeA&oe=67CA1B0A}}","https://www.instagram.com/p/DGN6zMssK9X/?img_index=11",""
"24","2025","Asturies Feminista","https://www.instagram.com/asturiesfeminista8m","ES","Xixón - Gijón","2025-03-02","10:00:00","43.537786 -5.6326 0 0","43.537786","-5.6326","0.0","0.0","Paseo Dr. Fleming, sn, Periurbano - Rural, 33203 Xixón - Gijón, Asturies","{{https://scontent.fbcn7-2.fna.fbcdn.net/v/t51.75761-15/480017206_18056153501038681_5864756038710090219_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=127cfc&_nc_ohc=NAVvM5tKIU4Q7kNvgHWPBoV&_nc_oc=AdjGfnlZo0SJnUH4TOzbIZzoPLbfF90U-vrzh3nTY1pw0huONZ5qUctCbDndKgbjpVU&_nc_zt=23&_nc_ht=scontent.fbcn7-2.fna&_nc_gid=Ar6nt3oHVi1X5RyUHzVEDuf&oh=00_AYA3soFA8AUnTsaEbdIn0OkHtV-_NbWcK_5NjRCUL4QpSQ&oe=67CA2CAD}}","https://www.instagram.com/p/DGN6zMssK9X/?img_index=12",""
"25","2025","Colectiva Feminista Alunadas","","UY","Fray Bentos","2025-03-08","18:00:00","-33.128836 -58.297432 46.70000076293945 12.916000366210938","-33.128836","-58.297432","46.70000076293945","12.91600036621094","Plaza Levratto","{{https://www.instagram.com/p/DGoYdgvxiV1/?igsh=MXJsNTVjaXp4NzZqcQ==}}","https://www.instagram.com/p/DGoYdgvxiV1/?igsh=MXJsNTVjaXp4NzZqcQ==",""
"26","2025","Colectiva Feminista Alunadas","","UY","Fray Bentos","2025-03-08","18:00:00","-33.128806 -58.297445 46.70000076293945 13.166999816894531","-33.128806","-58.297445","46.70000076293945","13.16699981689453","Plaza Levratto","{{https://www.instagram.com/p/DGoYdgvxiV1/?igsh=MXJsNTVjaXp4NzZqcQ==}}","",""
"27","2025","En las calles, ni un paso atrás. Muestra colectiva y participativa. Intervención lumínica y de carteles en mural impreso.","@eldemiurgo_ cultural","AR","Merlo-Buenos Aires","2025-03-08","11:00:00","-34.664974 -58.722631 37 100","-34.664974","-58.722631","37.0","100.0","Gral. Manuel Belgrano 1945","{{https://www.instagram.com/eldemiurgo_cultural/profilecard/?igsh=b2VhM3o5OGc4dHFj}}","https://www.instagram.com/eldemiurgo_cultural/profilecard/?igsh=b2VhM3o5OGc4dHFj",""
"28","2025","Comissió 8M santako","https://x.com/santako8M","ES","Santa Coloma de Gramenet. Barcelona","2025-03-08","12:00:00","41.452305 2.219466 0 0","41.452305","2.219466","0.0","0.0","Plaça de la Mediterrànea. 08922 Santa Coloma de Gramenet, Barcelona","{{https://pbs.twimg.com/media/GlIoMNLXAAAvWCP?format=jpg&name=900x900}}","https://x.com/santako8M/status/1896622586475446709",""
"29","2025","Asociación Antropología UCR","https://www.instagram.com/asocia_antro_ucr/","CR","San Jose","2025-03-07","22:00:00","9.939408 -84.043483 0 0","9.939408","-84.043483","0.0","0.0","Soda de Ciencias Sociales - UCR","{{https://i.imgur.com/5x1Y8Kw.png}}","https://www.instagram.com/p/DGvmurKOHU0/?igsh=bmdrazhvZWpneTdy",""
"30","2025","ColecFem QRO","https://www.instagram.com/colecfem/","MX","Querétaro","2025-03-08","10:00:00","20.592053 -100.395074 0 0","20.592053","-100.395074","0.0","0.0","Jardín Guerrero, Querétaro","{{https://i.imgur.com/oduCMFN.png}}","https://www.instagram.com/p/DGcX66OgwWf/?igsh=MWw0M3Jua284bHJ6cw%3D%3D",""
"31","2025","Se va a armar la gorda","https://sevaarmarlagorda.wordpress.com/","ES","Barcelona","2025-03-07","18:30:00","41.406997 2.149764 0 0","41.406997","2.149764","0.0","0.0","Plaça Lesseps. Plaça d’en Joanic. Plaça Gal·la Placídia.","{{https://sevaarmarlagorda.wordpress.com/wp-content/uploads/2025/02/xv_se_va_a_armar_la_gorda_2025.png}}","https://sevaarmarlagorda.wordpress.com/2025/02/24/xv-se-va-a-armar-la-gorda/",""
"32","2025","Women's March Foundation","https://www.instagram.com/womensmarch_fdn/","US","Los Angeles","2025-03-08","10:00:00","34.048366 -118.25297 0 0","34.048366","-118.25297","0.0","0.0","Pershing Square","{{https://i.imgur.com/KeTvMtu.png}}","https://www.instagram.com/p/DGWklWCSIk4/?igsh=OHFpbTUyM2s1aHNm&img_index=3",""
"33","2025","Women's March","https://www.instagram.com/womensmarch/","US","Nueva York","2025-03-08","11:00:00","40.730931 -73.99735 0 0","40.730931","-73.99735","0.0","0.0","Washington Square to Union Square","{{https://i.imgur.com/9sTy5T9.png}}","https://www.instagram.com/p/DGlYpA1Jrgg/?igsh=MXdtNHUycHVoN21tdA%3D%3D",""
"34","2025","Bristol Womens Voice","https://www.bristolwomensvoice.org.uk/international-womens-day-bristol/international-womens-day-2025/international-womens-day-2025-programme/","GB","Bristol","2025-03-08","10:00:00","41.672991 -72.944416 0 0","41.672991","-72.944416","0.0","0.0","Bristol City Hall","{{https://i.imgur.com/fdaKn1I.png}}","https://www.instagram.com/p/DGBGnUQNzWr/?igsh=MTB6Y2Q5N3p2c20zdg%3D%3D&img_index=6",""
"35","2025","Sexual Assault Center","https://sacha.ca/","CA","Ontario","2025-03-07","10:00:00","43.243694 -79.874362 0 0","43.243694","-79.874362","0.0","0.0","21 Rosedene Avenue","{{https://i.imgur.com/JSMn1zk.png}}","https://www.instagram.com/p/DGoQAq1SNrs/?igsh=andtcG5lcWZqdHlu",""
"36","2025","Mesa Feminista Concepción","https://www.instagram.com/vogesexudec/","CL","Concepción","2025-03-08","12:00:00","-36.826431 -73.047073 0 0","-36.826431","-73.047073","0.0","0.0","Tribunales de Justicia","{{https://i.imgur.com/aI48MBc.png}}","https://www.instagram.com/p/DGjOJ4gplne/",""
"37","2025","Coordinadora Feminista de Lleida","https://www.instagram.com/coordifeminista.lleida/","ES","Lleida","2025-03-08","18:00:00","41.620307 0.618439 0 0","41.620307","0.618439","0.0","0.0","Plaça del 8 de Març. Lleida","{{https://www.feministas.org/IMG/jpg/lleida8m2025.jpg}}","https://www.instagram.com/p/DGqBuNjt06N/",""
"38","2025","Ola Feminista Laguna","https://www.instagram.com/olafeministalaguna/","MX","Lerdo, Gómez Palacio, Torreón","2025-03-08","15:00:00","25.542593 -103.52302 0 0","25.542593","-103.52302","0.0","0.0","Parque Victoria","{{https://i.imgur.com/CHWwGun.png}}","https://www.instagram.com/p/DE-Q0_-MtFS/?igsh=OTJ3eDl5ZWI0MDBq&img_index=1",""
"39","2025","Coordinadora 8M Antofagasta","https://www.instagram.com/coordinadora8m.antofagasta/","CL","Antofagasta","2025-03-08","11:00:00","-23.651517 -70.397699 0 0","-23.651517","-70.397699","0.0","0.0","Plaza de la Revolución","{{https://i.imgur.com/RUXTg8I.png}}","https://www.instagram.com/p/DGlho6-JyiF/?igsh=OXllaDBlOXRwb2R0",""
"40","2025","Batukada Feminista Guadalajara","https://www.instagram.com/batukadafeministagdl/","MX","Guadalajara","2025-03-08","17:00:00","20.674705 -103.387279 0 0","20.674705","-103.387279","0.0","0.0","Glorieta La Minerva","{{https://i.imgur.com/nM3FEFD.png}}","https://www.instagram.com/p/DGHEnMOub7o/",""
